"dept_id","dept_name","n_clusters","flag_1cluster","urban_pct","ndvi_mean","direct_mean","eblup","se_direct","se_eblup","cv_direct","cv_eblup","gamma","cv_gain","resid"
"NE004002","Bermo",5,0,0,0.5448,-49331.4176181521,-47879.2251383337,3054.70881091985,2742.16467764369,6.1922177760321,5.72725366737028,0.77653831871607,0.464964108661816,-1452.1924798184
"NE004008","Mayahi",11,0,0,0.372,-51802.8320733445,-51960.2623030251,2456.36289645288,2284.95438180473,4.74175406660213,4.39750355469568,0.843117745024897,0.344250511906446,157.430229680584
"NE006004","Banibangou",2,0,0,0.2844,-45707.3330406185,-46389.9814355233,2094.78039895417,1986.00119821794,4.58302915440858,4.28109935973622,0.880805175964428,0.301929794672359,682.648394904805
"NE005004","Bouza",9,0,0,0.5511,-51536.8818668681,-51324.6421232055,2378.33304593598,2221.55915454601,4.61481750502441,4.32844548475005,0.851469695345996,0.28637202027436,-212.239743662634
"NE007002","Damagaram Takaya",7,0,0,0.1609,-51310.5992495369,-51435.8670181472,1880.91134836456,1801.44862513927,3.66573646746395,3.50231993659929,0.901629413583286,0.163416530864655,125.267768610291
"NE007003","Dungass",9,0,0,0.3805,-48136.3570118888,-48330.9420911363,1755.31747493319,1690.20399457825,3.64655238554853,3.49714679964459,0.913225901702892,0.149405585903942,194.585079247496
"NE006011","Téra",9,0,4.10935255948579,0.5289,-44916.3728756843,-44764.0843814433,1791.70334556639,1722.38094294979,3.98897602556936,3.84768496161578,0.909918569697378,0.141291063953576,-152.288494241009
"NE005011","Tchintabaraden",4,0,0,0.2082,-61115.734677309,-61016.7600561916,1306.82109859335,1280.31776132468,2.13827274677031,2.09830505609542,0.94996866504799,0.0399676906748949,-98.9746211174279
"NE005009","Tahoua",8,0,0,0.4792,-55142.2759777956,-55145.1989370839,742.420402194308,737.39608645749,1.34637243209414,1.33719000143385,0.983286007955157,0.0091824306602919,2.92295928827662
"NE001001","Aderbissinat",3,0,0,0.2438,-68608.3531440956,-68548.3970060299,319.024128722634,318.618941126087,0.464993129994826,0.464808741038918,0.996871136479703,0.000184388955908388,-59.9561380656669
"NE003005","Falmey",2,0,0,0.5499,-48287.3687015876,-48287.3834821495,10.8968325346592,10.896816407089,0.022566631455942,0.0225665911492537,0.999996338158868,4.03066882856407e-08,0.01478056194901
"NE005002","Bagaroua",1,1,0,0.1736,-51421.2916666667,-51421.2916666667,4.83169060316875e-12,4.83169060316875e-12,9.39628400330684e-15,9.39628400330683e-15,1,1.26217744835362e-29,0
"NE006002","Ayerou",1,1,0,0.3073,-28641.5454545455,-28641.5454545455,1.81898940354585e-12,1.81898940354585e-12,6.35087728220747e-15,6.35087728220746e-15,1,1.10440526730942e-29,0
"NE006003","Balleyara",1,1,0,0.3069,-50872.0416666667,-50872.0416666667,2.41584530158438e-12,2.41584530158437e-12,4.74886641549386e-15,4.74886641549385e-15,1,6.31088724176809e-30,0
"NE005012","Tillia",1,1,0,0.2591,-59930.88,-59930.88,2.3874235921539e-12,2.3874235921539e-12,3.98362846024271e-15,3.98362846024271e-15,1,3.94430452610506e-30,0
"NE007011","Ville de Zinder",1,1,0,0.292,-31960.4761904762,-31960.4761904762,9.09494701772926e-13,9.09494701772926e-13,2.84568570365652e-15,2.84568570365652e-15,1,3.54987407349455e-30,0
"NE001005","Ingall",1,1,0,0.5415,-61256,-61256,1.13686837721616e-13,1.13686837721616e-13,1.85592983090009e-16,1.85592983090009e-16,1,2.2186712959341e-31,0
"NE007010","Tesker",1,1,0,0.1474,-68333.4375,-68333.4375,0,0,0,0,1,0,0
"NE007001","Belbedji",1,1,0,0.4995,-65559.9473684211,-65559.9473684211,7.95807864051304e-13,7.95807864051304e-13,1.21386287816733e-15,1.21386287816733e-15,1,-1.77493703674728e-30,0
"NE001004","Iferouane",1,1,0,0.3045,-32861.85,-32861.85,5.91171556152406e-12,5.91171556152406e-12,1.79896005901191e-14,1.79896005901191e-14,1,-1.26217744835362e-29,0
